label,geometry
1,POINT (37.13543285100008 36.23547293500008)
1,POINT (37.13539414500008 36.23556617700007)
1,POINT (37.13908459400005 36.24100053500007)
1,POINT (37.13924325000005 36.24097692800007)
1,POINT (37.13939151100004 36.24095787700008)
1,POINT (37.13954160600008 36.24092698100009)
1,POINT (37.13893009900005 36.24103141400008)
0,POINT (37.13879661600004 36.24104943600008)
0,POINT (37.13960041700005 36.24163882900007)
0,POINT (37.13888088300007 36.24172038800009)
1,POINT (37.14411906300006 36.24172873800006)
0,POINT (37.14215327100004 36.22972460000005)
0,POINT (37.14258459400008 36.22977626700003)
0,POINT (37.14626771200005 36.22901557700004)
0,POINT (37.14644705500007 36.22860309400005)
0,POINT (37.13779588400007 36.17185351100005)
1,POINT (37.16041405100009 36.19777247900004)
0,POINT (37.15376464100007 36.19822461400008)
1,POINT (37.14159554800005 36.20121543600004)
1,POINT (37.14176467300007 36.20128102700005)
1,POINT (37.14043736400004 36.18355730300004)
0,POINT (37.13863008900006 36.18284369000008)
0,POINT (37.15136775500008 36.20623536400007)
1,POINT (37.15317637500004 36.19000386000005)
0,POINT (37.13867342100008 36.17913707300005)
0,POINT (37.13883107800007 36.17925182700009)
1,POINT (37.13958998000004 36.18111869000006)
1,POINT (37.13968171500005 36.18114037200007)
1,POINT (37.13981887100005 36.18111065500005)
0,POINT (37.13996163600007 36.18095389500007)
1,POINT (37.14364564100003 36.24582985500007)
1,POINT (37.14384028400008 36.24587878800008)
0,POINT (37.14388642400007 36.24567081700008)
1,POINT (37.14286995000003 36.23986662300007)
0,POINT (37.14334625100008 36.24013146300007)
1,POINT (37.13965641000004 36.23239852600005)
1,POINT (37.14497929700008 36.22938114100009)
0,POINT (37.14663154400006 36.19345602000004)
1,POINT (37.14209512100007 36.19414164900007)
0,POINT (37.14212375400007 36.19374962700005)
1,POINT (37.14473872700006 36.17032669300005)
1,POINT (37.13912579100008 36.24439816200004)
1,POINT (37.13938043700006 36.24446174900004)
1,POINT (37.14059177700005 36.24403698000009)
0,POINT (37.13879322700006 36.24526112500007)
0,POINT (37.13888146200009 36.24501684400008)
0,POINT (37.13894960600004 36.24487480500005)
0,POINT (37.13901158000004 36.24474459400005)
0,POINT (37.13904272400003 36.24529362700008)
0,POINT (37.13910169900004 36.24516575600006)
0,POINT (37.13914267500007 36.24505191300005)
0,POINT (37.13919887600008 36.24491684300006)
0,POINT (37.13925207700004 36.24478411100006)
0,POINT (37.14017599800007 36.24555452600003)
0,POINT (37.14002968200003 36.24551647600003)
0,POINT (37.13995558300007 36.24528874900005)
0,POINT (37.14010472800004 36.24533161300008)
0,POINT (37.13981221200004 36.24525074400009)
0,POINT (37.13923462600007 36.24415420100007)
0,POINT (37.13948049900006 36.24421526700007)
0,POINT (37.14079401700008 36.24419991900004)
1,POINT (37.14065428500004 36.24450541100003)
1,POINT (37.14018967200008 36.24497757000006)
1,POINT (37.14034491400008 36.24463893000006)
1,POINT (37.14124701500009 36.24515684900007)
1,POINT (37.14109951300009 36.24557392400004)
1,POINT (37.14159124800005 36.24501090700005)
0,POINT (37.14151614000008 36.24569187700007)
1,POINT (37.14192678200004 36.24578584700004)
0,POINT (37.14186651200004 36.24597866900007)
0,POINT (37.14150821400005 36.24588816600004)
0,POINT (37.14111709900004 36.24579980700008)
0,POINT (37.14145089000004 36.24471145300004)
0,POINT (37.14169560800008 36.24475506900006)
0,POINT (37.14148443000005 36.24523220300006)
1,POINT (37.14022460100006 36.24363609100004)
0,POINT (37.14071372900008 36.24349582600007)
1,POINT (37.14090954800008 36.24318405100007)
1,POINT (37.14058886100008 36.24329831500006)
1,POINT (37.14094289500008 36.24339206400003)
0,POINT (37.13945116800005 36.24372184500004)
0,POINT (37.13959968400007 36.24366691600005)
0,POINT (37.13974808700004 36.24361675500006)
0,POINT (37.13990277200008 36.24354999600007)
0,POINT (37.14005411700003 36.24349988000006)
1,POINT (37.14019374600008 36.24344719600003)
1,POINT (37.14110029600005 36.24333488600007)
0,POINT (37.14170189500004 36.24257734500009)
0,POINT (37.13792097000004 36.24170179000004)
0,POINT (37.13807452000009 36.24168271600007)
0,POINT (37.13823718300006 36.24165185800007)
0,POINT (37.13839984600008 36.24162100000007)
0,POINT (37.13796081700008 36.24188367000005)
0,POINT (37.13867796800008 36.24156331900008)
0,POINT (37.13882880200003 36.24153466200005)
0,POINT (37.13898846400008 36.24150614100006)
0,POINT (37.13915656000006 36.24149444700004)
0,POINT (37.13918441200008 36.24168568000005)
0,POINT (37.13872076100006 36.24174524500006)
0,POINT (37.13851546500007 36.24109094600004)
0,POINT (37.13837080100006 36.24110777400006)
0,POINT (37.13705292000009 36.24068895900007)
0,POINT (37.13702609300009 36.24082687100008)
0,POINT (37.13699660600008 36.24095281600006)
0,POINT (37.13697589100008 36.24108128300009)
0,POINT (37.13694295100004 36.24122864000009)
0,POINT (37.13692257600007 36.24134280200008)
1,POINT (37.13721088600005 36.24122804300004)
0,POINT (37.13716628700007 36.24137044800005)
0,POINT (37.13721677200004 36.24110411500004)
0,POINT (37.13723465600009 36.24097083400005)
0,POINT (37.13726148200004 36.24083292200004)
0,POINT (37.13728491300009 36.24071403700009)
1,POINT (37.13772535900006 36.24101186600006)
0,POINT (37.13787019200004 36.24098788600008)
0,POINT (37.13848155900007 36.24090677400005)
0,POINT (37.13889211700007 36.24085115300005)
0,POINT (37.13904555300007 36.24083684600004)
0,POINT (37.13651665600008 36.24132693800004)
0,POINT (37.13475321400006 36.23884409700008)
1,POINT (37.13482774600004 36.23905275400006)
0,POINT (37.13546417800006 36.23865961300004)
0,POINT (37.13552162200006 36.23872013400006)
0,POINT (37.13508724600007 36.23878729600005)
0,POINT (37.13511996100004 36.23864947700008)
0,POINT (37.13516240700005 36.23872168800006)
0,POINT (37.13523439600004 36.23878959100006)
0,POINT (37.13497026800007 36.23850642800005)
1,POINT (37.13608249100008 36.23853330600008)
1,POINT (37.13642659500005 36.23842418900006)
0,POINT (37.13597167500006 36.23861266900008)
0,POINT (37.13733763900007 36.23946766400007)
1,POINT (37.13721498300004 36.23981499800004)
0,POINT (37.13719743800004 36.23993397400005)
0,POINT (37.13717072500009 36.24006711800007)
0,POINT (37.13715601000007 36.24019090800005)
0,POINT (37.13712658000009 36.24031447000004)
0,POINT (37.13710031900007 36.24042854000004)
0,POINT (37.13730588100009 36.24045082200007)
0,POINT (37.13732036900007 36.24033656800009)
0,POINT (37.13733225400006 36.24020796300005)
0,POINT (37.13735591100004 36.24007954200005)
0,POINT (37.13738828300006 36.23995602700006)
0,POINT (37.13740877100008 36.23983709600009)
1,POINT (37.13812801000006 36.24017265400005)
1,POINT (37.13830125400005 36.24019204600006)
1,POINT (37.13868181000004 36.24003579000004)
0,POINT (37.13862408500006 36.24023523100004)
1,POINT (37.13904952800004 36.24029670600004)
0,POINT (37.13890582700009 36.24027300500006)
0,POINT (37.13878244500006 36.24026154500007)
0,POINT (37.13955489100005 36.23884972100007)
0,POINT (37.13957600500004 36.23895260500007)
0,POINT (37.13964075600006 36.23907763200009)
0,POINT (37.13970284700008 36.23919069200008)
0,POINT (37.13999780500006 36.24003718300008)
0,POINT (37.13992365900009 36.23993586000006)
0,POINT (37.13985590800007 36.23981317200008)
0,POINT (37.13978781800006 36.23970478800004)
0,POINT (37.13971135000008 36.23957719400005)
0,POINT (37.13964637300006 36.23946170300007)
0,POINT (37.13983064900009 36.23938825000005)
0,POINT (37.13988985400005 36.23949888000004)
0,POINT (37.13996932000003 36.23962413600009)
0,POINT (37.14004624000006 36.23973265700005)
0,POINT (37.14010810600007 36.23985525400008)
0,POINT (37.14019068600004 36.23997340300008)
0,POINT (37.14014395100008 36.24033042600007)
