label,geometry
1,POINT (40.13379023600004 35.34347458600007)
0,POINT (40.13146683000008 35.34175611100005)
0,POINT (40.12980123100004 35.34215798700006)
0,POINT (40.12923383200007 35.34226680400008)
1,POINT (40.13174304200004 35.33071508900008)
0,POINT (40.13187903700003 35.33086531100003)
0,POINT (40.13171532300004 35.33017073400003)
0,POINT (40.13201089600005 35.33137969700005)
0,POINT (40.13168144700006 35.33134684800007)
0,POINT (40.13051359000008 35.33075315700006)
0,POINT (40.13062688500003 35.33069289400004)
0,POINT (40.13122952900005 35.33162923700007)
0,POINT (40.13117837600004 35.33196310200003)
1,POINT (40.12997267800006 35.33108413500003)
0,POINT (40.13276257600006 35.33138039900007)
0,POINT (40.13259909400006 35.33157382600007)
1,POINT (40.13030321100007 35.33301196400004)
0,POINT (40.13036570300005 35.33290972600003)
1,POINT (40.13254096000003 35.33231224700006)
1,POINT (40.13180469700006 35.33279688800008)
0,POINT (40.13165707900004 35.33208874300004)
0,POINT (40.13044554800007 35.33283526000002)
0,POINT (40.13117950800006 35.33335254200006)
1,POINT (40.13269528000006 35.33223337000004)
1,POINT (40.13234914800006 35.33213579200003)
1,POINT (40.13316248400002 35.33177045200006)
1,POINT (40.13328465600006 35.33169779200006)
1,POINT (40.13324511600007 35.33183975500003)
1,POINT (40.13337951200003 35.33178508900005)
1,POINT (40.13330734100003 35.33215630500007)
1,POINT (40.13299572300008 35.33231438200005)
1,POINT (40.13273943800004 35.33252582700004)
1,POINT (40.13809175000006 35.34218791600006)
1,POINT (40.13837193100005 35.34247274300003)
1,POINT (40.13804797400007 35.34201427500005)
1,POINT (40.13756936000004 35.34163541300006)
1,POINT (40.13711769100007 35.34129422200004)
1,POINT (40.13812440400005 35.34013030600005)
1,POINT (40.13797250600004 35.34017071500006)
1,POINT (40.13771924500003 35.34019610900003)
1,POINT (40.13799729100003 35.34039029000007)
1,POINT (40.13804964600007 35.34051769000007)
1,POINT (40.13788029500006 35.34052471800004)
1,POINT (40.13771277800004 35.34057829400007)
1,POINT (40.13763100500006 35.34066005100004)
1,POINT (40.13756364300008 35.34055224900004)
1,POINT (40.13757010000006 35.34027908600007)
1,POINT (40.13788996700004 35.33988690100006)
1,POINT (40.13741200900006 35.34031304900003)
1,POINT (40.13728129600003 35.34037405400005)
1,POINT (40.13707717800003 35.34042235300006)
1,POINT (40.13692571600006 35.34044463900005)
1,POINT (40.13690835200003 35.34064844200003)
1,POINT (40.13671137800003 35.34048209700006)
1,POINT (40.13887786300006 35.34102942700002)
1,POINT (40.13869791900004 35.34142364600007)
1,POINT (40.13858264800007 35.34129698600003)
0,POINT (40.13865931200007 35.34103232900003)
1,POINT (40.13800071300005 35.34128491600006)
1,POINT (40.13699399200004 35.34114459600005)
