centroide,zone,image,label,nom_images_torchvision,segment,pred_no_euroSAT,pred_euroSAT
POINT (37.09011936115785 36.16143367034777),"POLYGON ((37.0893785797742 36.16069289266107, 37.09086014254151 36.16069289266107, 37.09086014254151 36.16217444803447, 37.0893785797742 36.16217444803447, 37.0893785797742 36.16069289266107))",alep_37.09011936115785_36.16143367034777.jpg,0,alep_0000.jpg,train,0,0
POINT (37.09160092392516 36.16143367034777),"POLYGON ((37.09086014254151 36.16069289266107, 37.09234170530882 36.16069289266107, 37.09234170530882 36.16217444803447, 37.09086014254151 36.16217444803447, 37.09086014254151 36.16069289266107))",alep_37.091600923925164_36.16143367034777.jpg,0,alep_0001.jpg,train,0,0
POINT (37.09308248669247 36.16143367034777),"POLYGON ((37.09234170530882 36.16069289266107, 37.09382326807613 36.16069289266107, 37.09382326807613 36.16217444803447, 37.09234170530882 36.16217444803447, 37.09234170530882 36.16069289266107))",alep_37.093082486692474_36.16143367034777.jpg,0,alep_0002.jpg,train,0,0
POINT (37.09456404945978 36.16143367034777),"POLYGON ((37.09382326807613 36.16069289266107, 37.09530483084344 36.16069289266107, 37.09530483084344 36.16217444803447, 37.09382326807613 36.16217444803447, 37.09382326807613 36.16069289266107))",alep_37.094564049459784_36.16143367034777.jpg,0,alep_0003.jpg,train,0,0
POINT (37.09604561222709 36.16143367034777),"POLYGON ((37.09530483084344 36.16069289266107, 37.09678639361075 36.16069289266107, 37.09678639361075 36.16217444803447, 37.09530483084344 36.16217444803447, 37.09530483084344 36.16069289266107))",alep_37.096045612227094_36.16143367034777.jpg,0,alep_0004.jpg,test,0,0
POINT (37.0975271749944 36.16143367034777),"POLYGON ((37.09678639361075 36.16069289266107, 37.09826795637806 36.16069289266107, 37.09826795637806 36.16217444803447, 37.09678639361075 36.16217444803447, 37.09678639361075 36.16069289266107))",alep_37.097527174994404_36.16143367034777.jpg,1,alep_0005.jpg,test,0,0
POINT (37.09900873776171 36.16143367034777),"POLYGON ((37.09826795637806 36.16069289266107, 37.09974951914537 36.16069289266107, 37.09974951914537 36.16217444803447, 37.09826795637806 36.16217444803447, 37.09826795637806 36.16069289266107))",alep_37.099008737761714_36.16143367034777.jpg,0,alep_0006.jpg,test,0,0
POINT (37.10049030052902 36.16143367034777),"POLYGON ((37.09974951914537 36.16069289266107, 37.10123108191268 36.16069289266107, 37.10123108191268 36.16217444803447, 37.09974951914537 36.16217444803447, 37.09974951914537 36.16069289266107))",alep_37.100490300529025_36.16143367034777.jpg,1,alep_0007.jpg,train,0,0
POINT (37.10197186329633 36.16143367034777),"POLYGON ((37.10123108191268 36.16069289266107, 37.10271264467999 36.16069289266107, 37.10271264467999 36.16217444803447, 37.10123108191268 36.16217444803447, 37.10123108191268 36.16069289266107))",alep_37.101971863296335_36.16143367034777.jpg,0,alep_0008.jpg,train,0,0
POINT (37.10345342606364 36.16143367034777),"POLYGON ((37.10271264467999 36.16069289266107, 37.1041942074473 36.16069289266107, 37.1041942074473 36.16217444803447, 37.10271264467999 36.16217444803447, 37.10271264467999 36.16069289266107))",alep_37.103453426063645_36.16143367034777.jpg,0,alep_0009.jpg,train,0,0
POINT (37.10493498883095 36.16143367034777),"POLYGON ((37.1041942074473 36.16069289266107, 37.10567577021461 36.16069289266107, 37.10567577021461 36.16217444803447, 37.1041942074473 36.16217444803447, 37.1041942074473 36.16069289266107))",alep_37.104934988830955_36.16143367034777.jpg,0,alep_0010.jpg,test,0,0
POINT (37.10641655159827 36.16143367034777),"POLYGON ((37.10567577021461 36.16069289266107, 37.10715733298192 36.16069289266107, 37.10715733298192 36.16217444803447, 37.10567577021461 36.16217444803447, 37.10567577021461 36.16069289266107))",alep_37.106416551598265_36.16143367034777.jpg,0,alep_0011.jpg,train,0,0
POINT (37.10789811436558 36.16143367034777),"POLYGON ((37.10715733298192 36.16069289266107, 37.10863889574923 36.16069289266107, 37.10863889574923 36.16217444803447, 37.10715733298192 36.16217444803447, 37.10715733298192 36.16069289266107))",alep_37.107898114365575_36.16143367034777.jpg,0,alep_0012.jpg,train,0,0
POINT (37.10937967713289 36.16143367034777),"POLYGON ((37.10863889574923 36.16069289266107, 37.11012045851654 36.16069289266107, 37.11012045851654 36.16217444803447, 37.10863889574923 36.16217444803447, 37.10863889574923 36.16069289266107))",alep_37.109379677132885_36.16143367034777.jpg,0,alep_0013.jpg,test,0,0
POINT (37.1108612399002 36.16143367034777),"POLYGON ((37.11012045851654 36.16069289266107, 37.11160202128385 36.16069289266107, 37.11160202128385 36.16217444803447, 37.11012045851654 36.16217444803447, 37.11012045851654 36.16069289266107))",alep_37.110861239900196_36.16143367034777.jpg,0,alep_0014.jpg,test,0,0
POINT (37.11234280266751 36.16143367034777),"POLYGON ((37.11160202128385 36.16069289266107, 37.11308358405116 36.16069289266107, 37.11308358405116 36.16217444803447, 37.11160202128385 36.16217444803447, 37.11160202128385 36.16069289266107))",alep_37.112342802667506_36.16143367034777.jpg,0,alep_0015.jpg,test,0,0
POINT (37.11382436543482 36.16143367034777),"POLYGON ((37.11308358405116 36.16069289266107, 37.11456514681847 36.16069289266107, 37.11456514681847 36.16217444803447, 37.11308358405116 36.16217444803447, 37.11308358405116 36.16069289266107))",alep_37.113824365434816_36.16143367034777.jpg,0,alep_0016.jpg,train,0,0
POINT (37.11530592820213 36.16143367034777),"POLYGON ((37.11456514681847 36.16069289266107, 37.11604670958578 36.16069289266107, 37.11604670958578 36.16217444803447, 37.11456514681847 36.16217444803447, 37.11456514681847 36.16069289266107))",alep_37.115305928202126_36.16143367034777.jpg,0,alep_0017.jpg,train,0,0
POINT (37.11678749096944 36.16143367034777),"POLYGON ((37.11604670958578 36.16069289266107, 37.11752827235309 36.16069289266107, 37.11752827235309 36.16217444803447, 37.11604670958578 36.16217444803447, 37.11604670958578 36.16069289266107))",alep_37.116787490969436_36.16143367034777.jpg,0,alep_0018.jpg,train,0,0
POINT (37.11826905373675 36.16143367034777),"POLYGON ((37.11752827235309 36.16069289266107, 37.1190098351204 36.16069289266107, 37.1190098351204 36.16217444803447, 37.11752827235309 36.16217444803447, 37.11752827235309 36.16069289266107))",alep_37.118269053736746_36.16143367034777.jpg,0,alep_0019.jpg,test,0,0
POINT (37.11975061650406 36.16143367034777),"POLYGON ((37.1190098351204 36.16069289266107, 37.12049139788771 36.16069289266107, 37.12049139788771 36.16217444803447, 37.1190098351204 36.16217444803447, 37.1190098351204 36.16069289266107))",alep_37.11975061650406_36.16143367034777.jpg,0,alep_0020.jpg,train,0,0
POINT (37.12123217927137 36.16143367034777),"POLYGON ((37.12049139788771 36.16069289266107, 37.12197296065502 36.16069289266107, 37.12197296065502 36.16217444803447, 37.12049139788771 36.16217444803447, 37.12049139788771 36.16069289266107))",alep_37.12123217927137_36.16143367034777.jpg,0,alep_0021.jpg,test,0,0
POINT (37.12271374203868 36.16143367034777),"POLYGON ((37.12197296065502 36.16069289266107, 37.12345452342233 36.16069289266107, 37.12345452342233 36.16217444803447, 37.12197296065502 36.16217444803447, 37.12197296065502 36.16069289266107))",alep_37.12271374203868_36.16143367034777.jpg,0,alep_0022.jpg,test,0,0
POINT (37.12419530480599 36.16143367034777),"POLYGON ((37.12345452342233 36.16069289266107, 37.12493608618964 36.16069289266107, 37.12493608618964 36.16217444803447, 37.12345452342233 36.16217444803447, 37.12345452342233 36.16069289266107))",alep_37.12419530480599_36.16143367034777.jpg,0,alep_0023.jpg,train,0,0
POINT (37.1256768675733 36.16143367034777),"POLYGON ((37.12493608618964 36.16069289266107, 37.12641764895695 36.16069289266107, 37.12641764895695 36.16217444803447, 37.12493608618964 36.16217444803447, 37.12493608618964 36.16069289266107))",alep_37.1256768675733_36.16143367034777.jpg,0,alep_0024.jpg,train,0,0
POINT (37.12715843034061 36.16143367034777),"POLYGON ((37.12641764895695 36.16069289266107, 37.12789921172426 36.16069289266107, 37.12789921172426 36.16217444803447, 37.12641764895695 36.16217444803447, 37.12641764895695 36.16069289266107))",alep_37.12715843034061_36.16143367034777.jpg,0,alep_0025.jpg,train,0,0
POINT (37.12863999310792 36.16143367034777),"POLYGON ((37.12789921172426 36.16069289266107, 37.12938077449157 36.16069289266107, 37.12938077449157 36.16217444803447, 37.12789921172426 36.16217444803447, 37.12789921172426 36.16069289266107))",alep_37.12863999310792_36.16143367034777.jpg,0,alep_0026.jpg,test,1,1
POINT (37.13012155587523 36.16143367034777),"POLYGON ((37.12938077449157 36.16069289266107, 37.13086233725888 36.16069289266107, 37.13086233725888 36.16217444803447, 37.12938077449157 36.16217444803447, 37.12938077449157 36.16069289266107))",alep_37.13012155587523_36.16143367034777.jpg,0,alep_0027.jpg,train,1,1
POINT (37.13160311864254 36.16143367034777),"POLYGON ((37.13086233725888 36.16069289266107, 37.13234390002619 36.16069289266107, 37.13234390002619 36.16217444803447, 37.13086233725888 36.16217444803447, 37.13086233725888 36.16069289266107))",alep_37.13160311864254_36.16143367034777.jpg,0,alep_0028.jpg,train,1,0
POINT (37.13308468140985 36.16143367034777),"POLYGON ((37.13234390002619 36.16069289266107, 37.1338254627935 36.16069289266107, 37.1338254627935 36.16217444803447, 37.13234390002619 36.16217444803447, 37.13234390002619 36.16069289266107))",alep_37.13308468140985_36.16143367034777.jpg,0,alep_0029.jpg,test,0,1
POINT (37.13456624417716 36.16143367034777),"POLYGON ((37.1338254627935 36.16069289266107, 37.13530702556081 36.16069289266107, 37.13530702556081 36.16217444803447, 37.1338254627935 36.16217444803447, 37.1338254627935 36.16069289266107))",alep_37.13456624417716_36.16143367034777.jpg,0,alep_0030.jpg,train,1,0
POINT (37.13604780694447 36.16143367034777),"POLYGON ((37.13530702556081 36.16069289266107, 37.13678858832812 36.16069289266107, 37.13678858832812 36.16217444803447, 37.13530702556081 36.16217444803447, 37.13530702556081 36.16069289266107))",alep_37.13604780694447_36.16143367034777.jpg,0,alep_0031.jpg,test,1,1
POINT (37.13752936971178 36.16143367034777),"POLYGON ((37.13678858832812 36.16069289266107, 37.13827015109543 36.16069289266107, 37.13827015109543 36.16217444803447, 37.13678858832812 36.16217444803447, 37.13678858832812 36.16069289266107))",alep_37.13752936971178_36.16143367034777.jpg,0,alep_0032.jpg,test,0,0
POINT (37.13901093247909 36.16143367034777),"POLYGON ((37.13827015109543 36.16069289266107, 37.13975171386274 36.16069289266107, 37.13975171386274 36.16217444803447, 37.13827015109543 36.16217444803447, 37.13827015109543 36.16069289266107))",alep_37.13901093247909_36.16143367034777.jpg,0,alep_0033.jpg,train,0,0
POINT (37.1404924952464 36.16143367034777),"POLYGON ((37.13975171386274 36.16069289266107, 37.14123327663005 36.16069289266107, 37.14123327663005 36.16217444803447, 37.13975171386274 36.16217444803447, 37.13975171386274 36.16069289266107))",alep_37.1404924952464_36.16143367034777.jpg,0,alep_0034.jpg,train,0,0
POINT (37.14197405801371 36.16143367034777),"POLYGON ((37.14123327663005 36.16069289266107, 37.14271483939736 36.16069289266107, 37.14271483939736 36.16217444803447, 37.14123327663005 36.16217444803447, 37.14123327663005 36.16069289266107))",alep_37.14197405801371_36.16143367034777.jpg,0,alep_0035.jpg,train,0,0
POINT (37.14345562078102 36.16143367034777),"POLYGON ((37.14271483939736 36.16069289266107, 37.14419640216467 36.16069289266107, 37.14419640216467 36.16217444803447, 37.14271483939736 36.16217444803447, 37.14271483939736 36.16069289266107))",alep_37.14345562078102_36.16143367034777.jpg,1,alep_0036.jpg,train,0,1
POINT (37.14493718354833 36.16143367034777),"POLYGON ((37.14419640216467 36.16069289266107, 37.14567796493198 36.16069289266107, 37.14567796493198 36.16217444803447, 37.14419640216467 36.16217444803447, 37.14419640216467 36.16069289266107))",alep_37.14493718354833_36.16143367034777.jpg,1,alep_0037.jpg,test,1,0
POINT (37.14641874631564 36.16143367034777),"POLYGON ((37.14567796493198 36.16069289266107, 37.14715952769929 36.16069289266107, 37.14715952769929 36.16217444803447, 37.14567796493198 36.16217444803447, 37.14567796493198 36.16069289266107))",alep_37.14641874631564_36.16143367034777.jpg,1,alep_0038.jpg,train,1,1
